date,open,high,low,close,volume,labels
2020-11-19,100.15,102.85,98.122,98.56,72678766,0
2020-11-20,99.56,101.2,98.6662,99.44,45155090,0
2020-11-23,101.0,108.127,100.5,107.0,82517938,0
2020-11-24,108.8,118.9,108.5,115.75,126871602,0
2020-11-25,121.0,122.0,109.0,110.9,78583938,0
2020-11-26,111.05,112.8,106.5,108.3,39317848,0
2020-11-27,108.0,111.4,102.603,107.65,75209219,0
2020-11-30,107.3,110.3,105.7,105.7,54663820,0
2020-12-01,105.0,112.4,103.05,112.1,41118602,0
2020-12-02,116.6,118.0,109.75,116.75,80221406,0
2020-12-03,120.0,134.9,119.3,134.9,171564297,0
2020-12-04,133.85,134.5,127.4,130.25,112258203,0
2020-12-07,130.7,133.229,127.4757,130.85,56197141,0
2020-12-08,129.0,130.4,125.1,126.25,43340719,0
2020-12-09,128.0,132.05,128.0,129.65,77884094,0
2020-12-10,129.55,130.45,125.25,127.0,35231953,0
2020-12-11,125.5,125.85,114.1,117.0,92092625,0
2020-12-14,118.8,124.4041,117.4,118.75,80854602,0
2020-12-15,117.2,117.3,112.2,115.3,55739539,0
2020-12-16,113.0,117.9023,113.0,114.8,71740250,0
2020-12-17,116.5,117.7,111.75,112.45,43667312,0
2020-12-18,111.85,114.6697,109.0,113.95,90483430,0
2020-12-21,104.55,111.4,95.1,110.25,153227109,0
2020-12-22,109.6,113.7,107.5182,112.65,37373559,0
2020-12-23,112.45,116.4,111.45,115.6,36332633,0
2020-12-24,117.3,120.75,114.6202,115.75,21508180,0
2020-12-29,120.55,121.1,112.65,112.85,49485688,0
2020-12-30,113.0,115.03,111.9,112.05,21556311,0
2020-12-31,111.75,112.65,109.14,111.25,15415460,0
2021-01-04,112.0,113.0,102.2,103.2,79652531,0
2021-01-05,102.65,108.25,101.15,107.75,96349875,0
2021-01-06,109.55,111.7,106.65,111.05,36904781,0
2021-01-07,113.05,113.4,108.05,111.1,49868922,0
2021-01-08,112.5,112.5,106.85,107.3,38353992,0
2021-01-11,107.95,108.25,104.2,105.75,42569359,0
2021-01-12,106.15,108.9,105.35,107.75,23311199,0
2021-01-13,108.55,108.8,103.75,105.6,40257711,0
2021-01-14,106.95,109.2,104.7,106.65,29157150,0
2021-01-15,106.1,106.7814,104.0,105.9,35871289,0
2021-01-18,105.5,105.65,103.65,104.25,26624131,0
2021-01-19,106.5,109.25,104.4,104.65,51765832,0
2021-01-20,105.3,108.65,104.35,107.4,41279031,0
2021-01-21,108.3,108.35,103.3,103.3,45447160,0
2021-01-22,103.1,103.8,100.35,102.95,39661207,0
2021-01-25,103.6,103.9,95.5606,98.0,78202242,0
2021-01-26,96.5,98.24,86.7,96.32,128922203,1
2021-01-27,94.62,99.46,92.06,95.16,58815578,0
2021-01-28,94.56,99.78,91.58,96.94,56342262,0
2021-01-29,94.62,96.46,91.12,91.7,111939797,0
2021-02-01,93.32,95.5,92.02,94.1,48381129,0
2021-02-02,96.48,96.82,94.2,94.76,52354910,0
2021-02-03,95.36,96.443,90.56,91.88,58482793,0
2021-02-04,92.52,95.12,91.98,93.9,43147168,0
2021-02-05,94.2,95.2,92.2,93.9,47764359,0
2021-02-08,94.4,94.9,91.14,93.0,40071770,0
2021-02-09,93.42,93.42,91.44,91.58,39344594,0
2021-02-10,93.1,95.22,91.2,92.8,96274609,0
2021-02-11,92.84,93.26,90.7,92.6,38191000,1
2021-02-12,91.74,93.08,90.7,92.86,27054551,0
2021-02-15,93.9,97.6,92.26,96.08,51964719,0
2021-02-16,97.26,100.25,96.36,99.94,61688441,0
2021-02-17,102.5,102.8,100.1,102.3,56930121,0
2021-02-18,102.0,102.27,93.28,93.34,57722406,0
2021-02-19,94.94,99.86,94.26,98.66,75707352,1
2021-02-22,97.48,105.6503,96.28,105.45,82699711,0
2021-02-23,106.0,115.5,104.55,106.65,130456602,0
2021-02-24,109.0,112.28,106.25,111.9,58165273,0
2021-02-25,117.45,118.95,112.05,112.05,81938477,0
2021-02-26,110.0,113.2,105.7,107.7,71533594,1
2021-03-01,110.5,113.45,107.8244,111.4,48409641,0
2021-03-02,110.8,112.2,109.15,110.15,27420410,0
2021-03-03,111.0,114.45,110.15,114.45,42463047,0
2021-03-04,113.1,115.85,111.9804,114.35,42311953,0
2021-03-05,113.5,114.7,108.15,108.55,60860191,0
2021-03-08,111.3,116.5,109.45,116.5,102980305,1
2021-03-09,115.65,118.29,112.45,113.85,45799449,0
2021-03-10,115.6,115.85,112.05,113.0,61019941,1
2021-03-11,117.55,117.65,112.382,113.8,50945719,0
2021-03-12,114.5,114.85,113.15,114.85,40282871,0
2021-03-15,114.6,119.1159,114.45,118.0,64553480,0
2021-03-16,119.15,125.34,118.2265,122.85,75769727,0
2021-03-17,128.55,128.55,125.05,127.2,74363695,0
2021-03-18,128.3,128.708,123.1,124.55,59445941,0
2021-03-19,123.0,123.85,117.0,117.0,86618914,0
2021-03-22,115.85,115.85,108.7,111.9,73655648,0
2021-03-23,110.5,113.15,104.85,105.3,81043172,0
2021-03-24,103.7,110.0,99.0,108.0,76788125,0
2021-03-25,107.6,108.35,102.8,106.05,39039840,1
2021-03-26,106.05,109.95,105.1,106.2,47153070,0
2021-03-29,106.25,106.9413,104.75,106.05,38109480,0
2021-03-30,106.2,109.25,105.8914,108.55,38498473,0
2021-03-31,108.55,109.65,105.3,105.3,45301191,0
2021-04-01,105.32,109.84,105.3,108.92,42760059,0
2021-04-06,111.46,113.9906,110.5,111.76,59606090,0
2021-04-07,112.6,113.941,111.56,111.88,44466992,0
2021-04-08,112.1,113.2631,108.58,111.12,38189059,0
2021-04-09,111.34,113.6,110.52,111.88,39746473,0
2021-04-12,112.4,112.8,106.82,108.22,36773539,0
2021-04-13,108.1,109.9418,106.08,107.7,27769980,0
2021-04-14,107.54,108.9,106.9304,107.74,24383109,0
2021-04-15,108.8,109.88,106.6,107.0,38660500,0
2021-04-16,107.0,108.23,104.38,104.56,53048129,0
2021-04-19,106.06,106.957,104.56,105.18,30950369,0
2021-04-20,104.32,105.72,99.28,99.28,68603070,0
2021-04-21,99.9,102.04,96.5,99.87,58919660,0
2021-04-22,101.74,102.88,100.14,102.82,41011121,0
2021-04-23,101.4,102.4,99.33,101.76,34408969,0
2021-04-26,102.24,107.82,102.16,107.82,42402441,0
2021-04-27,107.56,107.76,102.94,102.94,51134922,0
2021-04-28,102.0,104.48,101.44,102.76,39356262,0
2021-04-29,103.1,104.64,100.94,102.02,33746219,0
2021-04-30,102.4,105.5,101.46,104.62,35820680,0
2021-05-04,105.0,106.64,100.5,101.22,56543473,0
2021-05-05,102.08,103.2,100.62,101.76,33696090,0
2021-05-06,102.62,104.32,102.0,103.4,37055367,0
2021-05-07,104.64,106.89,104.02,106.74,39761594,0
2021-05-10,107.0,110.42,105.16,109.68,45288219,0
2021-05-11,108.0,108.477,102.12,104.34,63816992,0
2021-05-12,106.0,106.46,103.9132,104.86,24789240,0
2021-05-13,103.46,105.94,100.58,104.3,34621301,1
2021-05-14,105.16,107.759,102.4378,107.64,35353289,0
2021-05-17,107.7,108.68,102.52,102.98,39596230,0
2021-05-18,104.64,105.0,101.84,102.94,33419320,0
2021-05-19,101.4,103.66,99.9453,103.36,43630480,1
2021-05-20,104.12,104.98,100.5378,103.26,31088990,1
2021-05-21,103.18,105.28,102.18,105.2,56221551,0
2021-05-24,105.0,106.0,104.078,105.72,18948830,0
2021-05-25,105.9,106.87,104.959,105.42,23763820,0
2021-05-26,105.76,105.94,102.58,103.04,28971551,0
2021-05-27,103.08,109.32,102.32,107.06,79688008,0
2021-05-28,108.42,109.18,105.88,107.02,34976648,0
2021-06-01,106.54,109.48,106.24,108.94,44497160,0
2021-06-02,109.0,112.64,108.96,112.3,46285020,0
2021-06-03,112.32,112.556,109.4,109.68,35872512,0
2021-06-04,109.5,110.3655,105.82,107.32,39848230,0
2021-06-07,108.1,110.76,105.8494,110.12,75895891,0
2021-06-08,110.24,112.76,109.32,111.4,39237289,0
2021-06-09,111.4,113.2,110.32,112.56,31100490,0
2021-06-10,112.44,113.44,110.94,111.04,22080830,0
2021-06-11,111.76,112.44,110.8772,111.94,34108910,0
2021-06-14,112.0,112.5,107.22,107.36,96220094,0
2021-06-15,107.84,110.0,107.16,108.0,32482061,0
2021-06-16,108.2,110.32,108.14,110.0,21291971,0
2021-06-17,109.12,113.48,109.12,111.92,32574480,0
2021-06-18,112.04,112.24,106.7,107.52,54500340,0
2021-06-21,106.32,109.72,104.02,109.26,36844340,0
2021-06-22,109.8,112.46,107.82,108.2,34202391,0
2021-06-23,108.76,110.66,107.9,109.44,26743330,0
2021-06-24,109.9,110.7,107.7,107.78,26858801,0
2021-06-25,108.42,109.5,105.4,106.5,39517922,0
2021-06-28,106.42,107.0,100.5,100.5,74198109,0
2021-06-29,100.1,103.1,98.04,98.58,92294766,0
2021-06-30,98.63,99.9,94.69,98.92,80524016,0
2021-07-01,99.7,101.94,99.16,100.86,61514980,0
2021-07-02,101.5,103.48,101.06,102.58,45208246,0
2021-07-05,102.5,105.46,101.48,104.98,29593369,0
2021-07-06,105.0,106.293,102.24,103.66,30657619,0
2021-07-07,103.88,104.78,100.34,100.88,32911578,0
2021-07-08,100.2,101.662,98.16,100.72,51353992,0
2021-07-09,101.32,103.0,100.64,101.0,34263754,0
2021-07-12,100.8,100.8,95.74,95.74,56885660,0
2021-07-13,96.23,97.581,93.52,93.61,59253633,0
2021-07-14,93.0,94.35,90.55,92.76,51974680,0
2021-07-15,93.0,93.1,91.05,91.14,36680352,0
2021-07-16,91.61,94.97,91.0712,93.06,48974180,0
2021-07-19,92.7,92.98,86.69,87.0,80560961,0
2021-07-20,88.22,90.86,87.48,90.02,46922441,0
2021-07-21,90.79,97.3,90.79,97.0,58146930,0
2021-07-22,97.46,99.15,95.16,95.28,33227621,0
2021-07-23,96.61,98.86,95.33,95.63,27430221,0
2021-07-26,95.0,98.04,94.7,97.02,24293330,0
2021-07-27,96.28,98.39,94.7092,98.27,42938559,0
2021-07-28,98.0,103.28,97.72,101.7,45174879,0
2021-07-29,101.9,104.43,101.6,102.18,33575594,0
2021-07-30,100.48,101.22,98.3,99.71,34598633,0
2021-08-02,101.0,104.31,101.0,103.48,40770578,1
2021-08-03,103.12,104.12,101.8683,103.14,31802240,0
2021-08-04,103.74,105.34,103.1,104.54,44352406,1
2021-08-05,105.5,110.68,103.846,110.68,97643477,0
2021-08-06,111.38,112.8,109.4,112.42,61814793,0
2021-08-09,112.32,112.38,108.74,109.08,35415633,0
2021-08-10,108.6,110.18,106.74,110.02,32975969,0
2021-08-11,110.78,111.6,108.78,111.6,26418949,0
2021-08-12,111.48,112.42,108.74,109.56,25667090,0
2021-08-13,109.8,112.42,109.38,111.18,33545230,0
2021-08-16,109.44,110.46,108.52,109.7,29794170,1
2021-08-17,108.8,111.46,107.8954,111.46,27753500,0
2021-08-18,111.36,113.0,110.76,113.0,28383510,0
2021-08-19,110.0,112.923,108.76,111.22,32093039,1
2021-08-20,111.2,111.52,109.6,110.16,22923230,0
2021-08-23,112.0,114.3,110.963,113.74,46712141,0
2021-08-24,114.3,118.28,114.1,118.28,46354379,0
2021-08-25,118.54,120.57,113.7958,116.48,55529078,0
